bioguide,name,nous,quiver,delta,no_ticker,ocr,verdict
P000612,"David A Perdue , Jr",440,363,77,7,0,nous_plus
L000594,Kelly Loeffler,329,252,77,5,0,nous_plus
C000174,Thomas R Carper,247,203,44,32,0,nous_plus
W000779,Ron L Wyden,203,184,19,8,0,nous_plus
R000307,Pat Roberts,147,128,19,8,0,nous_plus
M000934,"Jerry Moran,",78,27,51,0,0,nous_plus
S001217,Rick Scott,54,0,54,54,0,quiver_sans_donnee
C001075,William Cassidy,45,44,1,0,0,nous_plus
T000461,Patrick J Toomey,36,11,25,23,0,nous_plus
W000802,Sheldon Whitehouse,25,14,11,3,0,nous_plus
I000024,James M Inhofe,22,17,5,2,0,nous_plus
H001061,John Hoeven,11,9,2,2,0,nous_plus
C001047,Shelley M Capito,9,7,2,0,0,nous_plus
P000595,Gary C Peters,9,0,9,9,0,quiver_sans_donnee
W000805,Mark R Warner,9,0,9,9,0,quiver_sans_donnee
K000383,"Angus S King, Jr.",6,5,1,1,0,nous_plus
A000360,Lamar Alexander,4,0,4,4,0,quiver_sans_donnee
C001035,Susan M Collins,4,0,4,4,0,quiver_sans_donnee
M000355,"A. Mitchell McConnell, Jr.",4,4,0,0,0,concordant
S001198,Daniel S Sullivan,4,4,0,0,0,concordant
W000437,Roger F Wicker,4,4,0,0,0,concordant
C001088,Christopher A Coons,3,0,3,3,0,quiver_sans_donnee
S001203,Tina Smith,3,2,1,1,0,nous_plus
B000575,Roy Blunt,2,0,2,0,0,quiver_sans_donnee
B001267,Michael F Bennet,2,0,2,2,0,quiver_sans_donnee
J000293,Ron Johnson,2,0,2,2,0,quiver_sans_donnee
R000608,Jacklyn S Rosen,2,2,0,0,0,concordant
K000384,Timothy M Kaine,1,1,0,0,0,concordant
S001181,Jeanne Shaheen,1,0,1,1,0,quiver_sans_donnee
B001299,James E. Banks,0,24,-24,0,0,quiver_seul
C001114,John Curtis,0,74,-74,0,0,quiver_seul
M001198,Roger W. Marshall,0,27,-27,0,0,quiver_seul
W000800,Peter Welch,0,24,-24,0,0,quiver_seul
