bioguide_id,name,nous,quiver,delta,a_du_papier,verdict
M001135,Kathy Manning,456,445,11,False,nous_plus
G000583,Josh Gottheimer,384,381,3,False,nous_plus
F000450,Virginia Foxx,281,273,8,False,nous_plus
S001201,Thomas Suozzi,225,143,82,True,nous_plus
J000020,Christopher L. Jacobs,170,140,30,False,nous_plus
F000462,Lois Frankel,155,156,-1,False,quiver_plus_a_revoir
L000579,Alan S. Lowenthal,123,83,40,False,nous_plus
F000246,Patrick Fallon,123,6,117,False,nous_plus
L000559,James R. Langevin,123,124,-1,False,quiver_plus_a_revoir
H001082,Kevin Hern,119,107,12,False,nous_plus
B000574,Earl Blumenauer,119,102,17,False,nous_plus
R000609,John Rutherford,119,118,1,False,nous_plus
B001292,Donald Sternoff Beyer,102,79,23,False,nous_plus
W000804,Robert J. Wittman,102,65,37,False,nous_plus
L000590,Susie Lee,79,74,5,False,nous_plus
D000617,Suzan K. DelBene,77,1,76,False,nous_plus
G000590,Mark Dr Green,58,58,0,False,concordant
S000250,Pete Sessions,45,39,6,False,nous_plus
C001114,John Curtis,43,0,43,False,quiver_sans_donnee
A000378,Cindy Axne,42,33,9,False,nous_plus
M001205,Carol Devine Miller,42,42,0,False,concordant
C001104,David Madison Cawthorn,30,0,30,False,quiver_sans_donnee
B001248,Michael C. Burgess,29,29,0,False,concordant
P000197,Nancy Pelosi,28,22,6,False,nous_plus
B001260,Vern Buchanan,24,0,24,False,quiver_sans_donnee
G000596,Marjorie Taylor Greene,23,23,0,False,concordant
F000472,Scott Franklin,23,33,-10,True,quiver_plus_papier
K000375,William R. Keating,22,10,12,False,nous_plus
D000399,Lloyd Doggett,22,22,0,False,concordant
L000397,Zoe Lofgren,22,16,6,False,nous_plus
W000797,Debbie Wasserman Schultz,20,17,3,False,nous_plus
M001180,David B. McKinley,19,19,0,False,concordant
E000296,Dwight Evans,19,19,0,False,concordant
P000608,Scott H. Peters,18,0,18,False,quiver_sans_donnee
P000593,Ed Perlmutter,17,17,0,False,concordant
M001199,Brian Mast,16,8,8,False,nous_plus
D000628,"Neal Patrick MD, Facs Dunn",16,0,16,False,quiver_sans_donnee
M001186,Peter Meijer,15,15,0,False,concordant
C001120,Daniel Crenshaw,15,15,0,False,concordant
E000298,Ron Estes,14,12,2,False,nous_plus
G000563,Bob Gibbs,13,13,0,False,concordant
C001068,Steve Cohen,13,11,2,False,nous_plus
S000344,Brad Sherman,11,1,10,False,nous_plus
R000305,Deborah K. Ross,11,11,0,False,concordant
B001274,Mo Brooks,11,3,8,False,nous_plus
N000192,Marie Newman,10,9,1,False,nous_plus
G000591,Michael Patrick Guest,9,3,6,False,nous_plus
S000185,"Robert C. ""Bobby"" Scott",9,9,0,False,concordant
S001190,Bradley S. Schneider,7,5,2,False,nous_plus
A000372,Richard W. Allen,6,6,0,False,concordant
S001205,Mary Gay Scanlon,6,6,0,False,concordant
S000929,Victoria Spartz,6,6,0,False,concordant
C001103,Earl Leroy Carter,6,0,6,False,quiver_sans_donnee
P000048,August Lee Pfluger,5,5,0,False,concordant
D000624,Debbie Dingell,5,3,2,False,nous_plus
S001214,Greg Steube,5,5,0,False,concordant
G000061,Michael Garcia,5,5,0,False,concordant
C001101,Katherine M. Clark,5,0,5,False,quiver_sans_donnee
G000559,John Garamendi,4,4,0,False,concordant
P000523,David E. Price,4,2,2,False,nous_plus
S001216,Kim Dr Schrier,4,4,0,False,concordant
S000168,Maria Elvira Salazar,4,1,3,False,nous_plus
M000087,Carolyn B. Maloney,3,0,3,False,quiver_sans_donnee
M001204,Daniel Meuser,3,3,0,False,concordant
C001078,Gerald E. Connolly,3,3,0,False,concordant
M001213,Blake Moore,3,3,0,False,concordant
J000295,David P. Joyce,3,3,0,False,concordant
S001207,Mikie Sherrill,2,2,0,False,concordant
R000612,John W. Rose,2,1,1,False,nous_plus
A000055,Robert B. Aderholt,2,2,0,False,concordant
O000171,Tom O'Halleran,2,0,2,False,quiver_sans_donnee
L000566,Robert E. Latta,2,2,0,False,concordant
B001311,Dan Daniel Bishop,2,0,2,False,quiver_sans_donnee
C001069,Joe Courtney,2,2,0,False,concordant
K000392,David Kustoff,2,2,0,True,concordant
G000597,Andrew Garbarino,2,2,0,False,concordant
P000096,Bill Pascrell,1,1,0,False,concordant
W000809,Steve Womack,1,0,1,False,quiver_sans_donnee
B000668,Cliff Bentz,1,0,1,False,quiver_sans_donnee
W000800,Peter Welch,1,0,1,False,quiver_sans_donnee
T000482,Lori Trahan,1,1,0,False,concordant
C001080,Judy Chu,1,1,0,False,concordant
S001209,Abigail Spanberger,1,1,0,False,concordant
G000577,Garret Graves,1,1,0,False,concordant
G000588,Anthony E. Gonzalez,1,1,0,False,concordant
S001172,Adrian Smith,1,0,1,False,quiver_sans_donnee
Y000067,Rudy Yakym,1,1,0,False,concordant
R000603,David Cheston Rouzer,1,1,0,False,concordant
M001210,Greg Francis Murphy,1,0,1,False,quiver_sans_donnee
L000273,Teresa Leger Fernandez,1,1,0,False,concordant
