n_ptr_elec,n_ptr_paper,n_parse_fail,n_txns,n_senateurs,ticker_pct,quiver_txns,coverage_pct,only_quiver,delta_total,concordant,nous_plus,quiver_sans_donnee,sens_pct,date_traded_pct,montant_pct,year,quiver_amendment_dups
146.0,33.0,0.0,1706,29,89.4,1574,99.4,8,276,5,14,10,95.7,99.4,93.2,2020,144
123.0,22.0,0.0,1098,31,85.8,579,98.0,8,594,6,15,9,87.0,98.0,86.1,2021,75
100.0,19.0,0.0,919,24,81.2,769,99.4,4,236,4,16,4,91.7,99.4,91.5,2022,86
100.0,15.0,0.0,1062,29,76.8,897,99.7,2,259,5,16,8,93.0,99.7,89.5,2023,94
115.0,14.0,0.0,946,23,71.9,677,99.6,2,380,7,14,2,95.6,99.6,92.8,2024,111
146.0,21.0,0.0,943,30,65.6,542,99.8,1,421,11,14,5,96.4,99.8,96.1,2025,20
75.0,6.0,0.0,487,21,69.0,303,100.0,0,208,5,11,5,100.0,100.0,99.3,2026,24
