bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,occurrence_index
S001190,Bradley S. Schneider,house,Democrat,IL10,HSFA17; HSWM04; HSWM05; House Committee on Foreign Affairs; House Committee on Ways and Means,False,2017-12-07,2017-12-31,AMAT,"Applied Materials, Inc.",,Purchase,"$100,001 - $250,000",175000.5,False,SP,20008644,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008644.pdf,7c2ad37725acd0f838735f1b0f2202ebb723acda83c7197837a866898a806d44,0
S001190,Bradley S. Schneider,house,Democrat,IL10,HSFA17; HSWM04; HSWM05; House Committee on Foreign Affairs; House Committee on Ways and Means,False,2017-12-12,2017-12-31,DAL,"Delta Air Lines, Inc.",,Purchase,"$100,001 - $250,000",175000.5,False,SP,20008644,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008644.pdf,1aad8aea6ea8d94f9e489c2c22b08204b08343f2f2976c09ba5e7a3d04b3b205,0
S001190,Bradley S. Schneider,house,Democrat,IL10,HSFA17; HSWM04; HSWM05; House Committee on Foreign Affairs; House Committee on Ways and Means,False,2017-12-07,2017-12-31,INTC,Intel Corporation,,Sale,"$100,001 - $250,000",175000.5,False,SP,20008644,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008644.pdf,0cb97d86e169f6d1383dde51c93060ba091b1d7366377342b8de7e085fef8d72,0
S001190,Bradley S. Schneider,house,Democrat,IL10,HSFA17; HSWM04; HSWM05; House Committee on Foreign Affairs; House Committee on Ways and Means,False,2017-12-29,2017-12-31,X,United States Steel Corporation,,Sale,"$1,001 - $15,000",8000.5,False,JT,20008644,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008644.pdf,3df80b7ee19ce42ac68d279988f165e845140f62016334ee074d4bdd8ffbb9b8,0
S000250,Pete Sessions,house,Republican,TX32,HSBA10; HSBA16; HSGO24; HSGO27; House Committee on Financial Services; House Committee on Oversight and Government Reform,True,2017-12-29,2017-12-30,NVDA,NVIDIa Corporation,,Purchase,"$1,001 - $15,000",8000.5,False,SP,20008639,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008639.pdf,73790276faab9bf343e1cb5e24f59597203634d6e841012c85bc73dd11107371,0
L000579,Alan S. Lowenthal,house,Democrat,CA47,,False,2017-12-14,2017-12-28,BSX,Boston Scientific Corporation,,Purchase,"$15,001 - $50,000",32500.5,False,SP,20008628,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008628.pdf,cbda8930ae4a9f1ac3bcb65391aad3d2ffabbade0ce50490d10f7f08feaa4394,0
B001274,Mo Brooks,house,Republican,AL05,,False,2017-11-20,2017-12-21,APT,"alpha Pro Tech, ltd.",,Purchase,"$1,001 - $15,000",8000.5,False,JT,20008596,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008596.pdf,5e9503b3544207f14c9ce85ecb9e674c0796e0f323332c168a131f48f3b19b5a,0
B001274,Mo Brooks,house,Republican,AL05,,False,2017-11-27,2017-12-21,,Tenn Valley auth,,Sale,"$15,001 - $50,000",32500.5,False,JT,20008596,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008596.pdf,5f9b059d0d159a6a108224393ad6c49efaf0d42c0896b8f2c08749ba2e869120,0
F000462,Lois Frankel,house,Democrat,FL21,HSAP04; HSAP07; House Committee on Appropriations,False,2017-12-08,2017-12-20,,Regal Entertainment Group Class A,,Sale,"$1,001 - $15,000",8000.5,False,SELF,20008579,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008579.pdf,7968944b32c3c660215a02ed3bcc83be00c24ab9e27eff4429814b5c716c9158,0
F000462,Lois Frankel,house,Democrat,FL21,HSAP04; HSAP07; House Committee on Appropriations,False,2017-12-08,2017-12-20,RGC,Regal Entertainment Group Class A,,Sale,"$1,001 - $15,000",8000.5,False,SELF,20008579,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/20008579.pdf,7968944b32c3c660215a02ed3bcc83be00c24ab9e27eff4429814b5c716c9158,1
