bioguide_id,name,docs,n_ocr,n_quiver,delta,verdict
K000389,Rohit Khanna,11,3488,3565,-77,concordant
M001157,Michael T. McCaul,11,3352,3181,171,ocr>=quiver
R000582,David P. Roe,11,702,0,702,quiver_sans_donnee
R000607,Francis Rooney,11,589,0,589,quiver_sans_donnee
R000586,James B. Renacci,23,352,0,352,quiver_sans_donnee
D000620,John K. Delaney,23,225,0,225,quiver_sans_donnee
K000376,Mike Kelly,11,162,0,162,quiver_sans_donnee
U000031,Fred Upton,9,142,0,142,quiver_sans_donnee
B001273,Diane Black,17,140,0,140,quiver_sans_donnee
S001180,Kurt Schrader,11,121,0,121,quiver_sans_donnee
F000459,"Charles J. ""Chuck"" Fleischmann",11,83,0,83,quiver_sans_donnee
P000598,Jared Polis,10,81,0,81,quiver_sans_donnee
L000557,John B. Larson,17,53,0,53,quiver_sans_donnee
L000564,Doug Lamborn,10,52,0,52,quiver_sans_donnee
M001158,Kenny Marchant,9,41,0,41,quiver_sans_donnee
F000372,Rodney P. Frelinghuysen,15,33,0,33,quiver_sans_donnee
G000583,Josh Gottheimer,6,19,293,-274,ocr_souscompte
H001064,Denny Heck,2,14,0,14,quiver_sans_donnee
R000395,Harold Dallas Rogers,4,13,0,13,quiver_sans_donnee
K000379,Joseph P. Kennedy,3,10,0,10,quiver_sans_donnee
K000392,David Kustoff,3,9,0,9,quiver_sans_donnee
W000800,Peter Welch,3,9,0,9,quiver_sans_donnee
C001108,James Comer,3,9,0,9,quiver_sans_donnee
R000603,David Cheston Rouzer,1,8,0,8,quiver_sans_donnee
L000576,Billy Long,3,7,0,7,quiver_sans_donnee
C001092,Chris Collins,4,7,0,7,quiver_sans_donnee
W000812,Ann Wagner,6,7,0,7,quiver_sans_donnee
S001187,Steve Stivers,1,6,0,6,quiver_sans_donnee
H001065,George Holding,1,6,0,6,quiver_sans_donnee
S001150,Adam B. Schiff,3,5,0,5,quiver_sans_donnee
D000615,Jeff Duncan,3,3,0,3,quiver_sans_donnee
H001038,Brian Higgins,1,3,0,3,quiver_sans_donnee
S001189,Austin Scott,1,2,0,2,quiver_sans_donnee
B001257,Gus M. Bilirakis,1,2,0,2,quiver_sans_donnee
C001053,Tom Cole,2,2,0,2,quiver_sans_donnee
C001048,John Abney Culberson,1,2,0,2,quiver_sans_donnee
S000244,F. James Sensenbrenner,1,1,0,1,quiver_sans_donnee
M001184,Thomas Massie,1,1,0,1,quiver_sans_donnee
H001074,Trey Hollingsworth,1,1,0,1,quiver_sans_donnee
D000628,Neal P. Dunn,1,1,0,1,quiver_sans_donnee
B001282,"Garland ""Andy"" Barr",1,1,0,1,quiver_sans_donnee
Y000065,Ted S. Yoho,1,1,0,1,quiver_sans_donnee
